route_long_name,route_type,route_text_color,route_color,agency_id,route_id,route_url,route_short_name
Erb West,3,,,,5,,5
Highland,3,,,,24,,24
Queen South,3,,,,25,,25
Chicopee,3,,,,27,,27
Victoria Hills,3,,,,20,,20
Elmira,3,,,,21,,21
Laurentian West,3,,,,22,,22
Idlewood,3,,,,23,,23
Keats Way,3,,,,29,,29
Glasgow,3,,,,4,,4
Kumpf PM Special,3,,,,9933,,9933
University/Fairview Park,3,,,,8,,8
Huron Industrial AM Special,3,,,,9931,,9931
Kumpf Express Special,3,,,,9934,,9934
Rt 9 & Rt 7E Special,3,,,,9920_merged_999119,,9920
INIT Test Route KWSA,3,,,,999,,999
Lakeshore,3,,,,9,,9
Rt 12 Special,3,,,,9988,,9988
King East Special,3,,,,9986,,9986
Huron Industrial,3,,,,9987,,9987
Kumpf PM2 Special,3,,,,9984,,9984
Rt. 7 PM Special,3,,,,9985,,9985
iXpress Special,3,,,,9982,,9982
Rt 32 and 7 Evening Special,3,,,,9983,,9983
ECI-Rt 7B/Sunnyside Special,3,,,,9980,,9980
KCI-Downtown Special,3,,,,9981,,9981
Huron Heights Special,3,,,,9906,,9906
WCI-Lakeshore/Rt 7E Special,3,,,,9907,,9907
Rt 9 AM Special,3,,,,9904,,9904
St David Special,3,,,,9905,,9905
SD-Auburn/SD-Chesapeake/SMH-S1 Express Special,3,,,,9902,,9902
Elmwood,3,,,,58,,58
BCI-Auburn/SMH-S2 Xp Special,3,,,,9901,,9901
St. Andrews,3,,,,55,,55
Lisbon Pines,3,,,,54,,54
Blair Road,3,,,,57,,57
Dunbar,3,,,,56,,56
Hespeler Road,3,,,,51,,51
Franklin Boulevard,3,,,,53,,53
Rt 19/SJAM-Keats Way/Rt 13 Special,3,,,,9909,,9909
St. B Poplar-Guelph PM,3,,,,9851,,9851
St. B Jamieson-Cooper/JHSS Melran,3,,,,9852,,9852
Forest Glen/Conestoga College Express,3,,,,116,,116
CBC/GCI PM/ARC Industries,3,,,,9854,,9854
St. B Melran PM / RIM Reuter,3,,,,9855,,9855
Route 72 PM Industrial,3,,,,9856,,9856
Preston HS,3,,,,9857,,9857
GCI Route 60 Special,3,,,,9858,,9858
Fairview Park/Ainslie Street,3,,,,52,,52
RCSS-Rolling Meadows/SMH-Max Becker,3,,,,9911,,9911
