service_id,date,exception_type
muwtf_merged_999123,20110701,2
s_merged_999122,20110701,1
muwtf_merged_999126,20110701,2
a_merged_999121,20110701,2
s_merged_999125,20110701,1
a_merged_999124,20110701,2
t,20110701,2
tf,20110701,2
muwtf_merged_999123,20110801,2
s_merged_999122,20110801,1
muwtf_merged_999126,20110801,2
a_merged_999121,20110801,2
s_merged_999125,20110801,1
a_merged_999124,20110801,2
t,20110801,2
tf,20110801,2
