stop_lat,stop_lon,stop_id,stop_name
43.493527,-80.555927,1196,Northfield / Skylark
43.40878,-80.443455,1759,Wabanaki / Kevco
43.406957,-80.448535,1758,Manitou / Wabanaki
43.405483,-80.448345,1757,334 Manitou Dr.
43.40185,-80.447687,1756,Manitou / Cayuga
43.398292,-80.446698,1755,Doon Village / Farrier
43.393583,-80.443617,1754,Doon Village / Wheatfield Park
43.391897,-80.440588,1753,Doon Village / Bechtel
43.389998,-80.444377,1752,Bechtel / Anvil
43.389137,-80.448528,1751,Bechtel / Sabrina
43.391645,-80.450683,1750,Pioneer / Black Walnut
43.490542,-80.539163,1177,Albert / Longwood
43.48815,-80.541385,1176,Albert / Greenbrier
43.485738,-80.539433,1175,Hazel / Albert
43.485675,-80.537293,1174,Hazel / Blythwood
43.483773,-80.535095,1173,Hazel / Smallwood
43.481543,-80.532912,1172,Hazel / Austin
43.479566,-80.531347,1171,Waterloo Ci
43.478533,-80.530555,1170,Waterloo Ci
43.49266,-80.544787,1179,Parkside / Weber
43.492042,-80.537633,1178,Weber / Albert
43.403585,-80.35481,1284,Eagle / Hexam
43.404093,-80.351697,1283,Eagle / Shettleston
43.40467,-80.348197,1282,Eagle / Concession
43.40332,-80.35546,1289,Laurel / Eagle
43.394808,-80.37774,1579,Preston / Hillview
43.396447,-80.377657,1578,Preston / Parkview
43.407827,-80.391363,1573,Gateway Park / Sportsworld
43.408985563,-80.3938566,1571,Sportsworld Crossing
43.409226842,-80.39381845,1570,Sportsworld Crossing
43.39853,-80.377978,1577,Preston / Kiwanis Village
43.399365,-80.376857,1576,Preston / Linden
43.399647,-80.375538,1575,Shantz Hill / Preston Pkwy
43.406267,-80.38917,1574,Tu Lane / Gateway Park
43.438698,-80.298918,1240,Melran / Mccormick
43.436943,-80.293683,1243,Mcmeeken / Mccormick
43.504595,-80.496582,2035,University / Lexington
43.38885,-80.28531,1371,Burnett / Mctague
43.386238,-80.288258,1370,Burnett / Chimney Hill
43.390437,-80.29201,1373,Saginaw / Stonecairn
43.389898,-80.2883,1372,Saginaw / Fairgreen
43.391526,-80.300126,1375,St Benedict Css
43.38973,-80.296317,1374,Saginaw / Cowan
43.39165,-80.300673,1377,St Benedict Css
43.391573,-80.300315,1376,St Benedict Css
